# Feature 0, Feature 1, IPC
0, 3, 1.0373604725057408
0, 12, 1.0298825705442218
0, 1, 1.0573099479167165
0, 2, 1.1006973537479043
0, 9, 1.0413504511012108
0, 8, 1.0397490998678085
0, 13, 1.0380471096797752
0, 14, 1.0367456138003102
0, 16, 1.0442723449284133
7, 3, 1.033878170389866
7, 12, 1.058970332861779
7, 1, 1.0392863148318268
7, 2, 1.097501639921949
7, 9, 1.041432397089943
7, 8, 1.038794609394761
7, 13, 1.0362423489303232
7, 14, 1.0377848286080391
7, 16, 1.038137185050867
6, 3, 1.0665201423041217
6, 12, 1.1013250086979611
6, 1, 1.0425442427229494
6, 2, 1.1007073547222443
6, 9, 1.0831655840009644
6, 8, 1.0873890939182123
6, 13, 1.0938310741179038
6, 14, 1.090020100408954
6, 16, 1.0895204164705667
5, 3, 1.103310251946066
5, 12, 1.0747292402207984
5, 1, 1.0352341481997225
5, 2, 1.0976125101518612
5, 9, 1.0968551812138587
5, 8, 1.0937825998681059
5, 13, 1.1008139048950916
5, 14, 1.1037327607830194
5, 16, 1.102950994418025
10, 3, 1.0755652053251823
10, 12, 1.052500969265189
10, 1, 1.0390510594069966
10, 2, 1.0603017540033073
10, 9, 1.0772238270280714
10, 8, 1.0534138660975465
10, 13, 1.0527522724815674
10, 14, 1.0708028726528196
10, 16, 1.0655038173112918
